Model,Data Type,Mean CV Accuracy,Std CV Accuracy
LightGBM,Log,0.9993075990998788,0.0001896217959166213
LightGBM,Mixed,0.9993075990998788,0.0001896217959166213
LightGBM,Normal,0.9993075990998788,0.00024480068588766675
KNN,Normal,0.9992729790548728,0.00016960289027406745
KNN,Log,0.9992383590098667,0.00035643517884670676
KNN,Mixed,0.9992383590098667,0.00035643517884670676
XGBoost,Log,0.9990998788298425,0.0005064475969647575
XGBoost,Mixed,0.9990998788298425,0.0005064475969647575
XGBoost,Normal,0.9990998788298425,0.0005064475969647575
SVM,Normal,0.998926778604812,0.0005407823905768843
Random Forest,Log,0.9988921585598062,0.0005088086708221827
Random Forest,Mixed,0.9988921585598062,0.0005088086708221827
Random Forest,Normal,0.9988921585598062,0.0005088086708221827
SVM,Log,0.9988575385148,0.000575151383965281
SVM,Mixed,0.9988575385148,0.000575151383965281
Logistic Regression,Log,0.9971957763545094,0.0008717104595474549
Logistic Regression,Mixed,0.9971957763545094,0.0008717104595474549
Logistic Regression,Normal,0.9971611563095031,0.0008236369917514544
